diffpt,haactive,active,epoch,acu,date,diff,needed
0,2,2,0,0,2014-09-28 15:49:58.808737,0,
0,2,2,61,0,2014-09-28 15:50:59.071109,0,0
60,2,2,121,10,2014-09-28 15:51:59.330578,1,1
60,2,2,183,60,2014-09-28 15:53:01.526958,1,1
248,2,2,246,262,2014-09-28 15:54:03.836814,4,1
868,2,2,308,1113,2014-09-28 15:55:06.224331,14,2
1525,2,2,370,2593,2014-09-28 15:56:08.021714,25,3
2835,3,3,433,5411,2014-09-28 15:57:11.322713,45,5
4320,4,5,514,4266,2014-09-28 15:58:32.031523,72,8
7920,7,8,595,7867,2014-09-28 15:59:53.072102,132,14
5880,10,13,685,5861,2014-09-28 16:01:23.347892,98,10
4356,8,10,752,10210,2014-09-28 16:02:30.298435,66,7
1740,7,7,822,1684,2014-09-28 16:03:39.453189,29,3
1320,3,3,894,1262,2014-09-28 16:04:51.603086,22,3
1364,3,3,956,2570,2014-09-28 16:05:53.873466,22,3
1220,3,3,1018,3752,2014-09-28 16:06:55.722346,20,2
60,3,3,1086,60,2014-09-28 16:08:03.852704,1,1
60,3,3,1148,60,2014-09-28 16:09:06.335401,1,1
62,3,3,1211,122,2014-09-28 16:10:08.712067,1,1
124,3,3,1273,185,2014-09-28 16:11:11.296698,2,1
62,3,3,1336,223,2014-09-28 16:12:13.611447,1,1
0,3,3,1398,223,2014-09-28 16:13:16.051720,0,0
0,2,2,1462,223,2014-09-28 16:14:20.002880,0,0
0,2,2,1527,223,2014-09-28 16:15:24.452591,0,0
0,2,2,1589,0,2014-09-28 16:16:27.101334,0,0
0,2,2,1652,0,2014-09-28 16:17:29.703425,0,0
0,2,2,1714,0,2014-09-28 16:18:32.238826,0,0
0,2,2,1777,0,2014-09-28 16:19:34.717692,0,0
0,2,2,1839,0,2014-09-28 16:20:37.553932,0,0
0,2,2,1902,0,2014-09-28 16:21:39.989196,0,0
0,2,2,1964,0,2014-09-28 16:22:42.519189,0,0
0,2,2,2027,0,2014-09-28 16:23:45.119396,0,0
0,2,2,2089,0,2014-09-28 16:24:47.419655,0,0
0,2,2,2152,0,2014-09-28 16:25:50.065369,0,0
0,2,2,2214,0,2014-09-28 16:26:52.484113,0,0
0,2,2,2277,0,2014-09-28 16:27:55.015914,0,0
0,2,2,2339,0,2014-09-28 16:28:57.325397,0,0
0,2,2,2402,0,2014-09-28 16:29:59.795176,0,0
0,2,2,2464,0,2014-09-28 16:31:02.465023,0,0
0,2,2,2527,0,2014-09-28 16:32:04.770254,0,0
0,2,2,2589,0,2014-09-28 16:33:07.361641,0,0
0,2,2,2652,0,2014-09-28 16:34:09.819498,0,0
0,2,2,2714,0,2014-09-28 16:35:12.115406,0,0
0,2,2,2777,0,2014-09-28 16:36:14.614119,0,0
0,2,2,2839,0,2014-09-28 16:37:17.135211,0,0
0,2,2,2901,0,2014-09-28 16:38:19.410763,0,0
0,2,2,2964,0,2014-09-28 16:39:22.255188,0,0
0,2,2,3027,0,2014-09-28 16:40:25.305759,0,0
0,2,2,3089,0,2014-09-28 16:41:27.373745,0,0
0,2,2,3152,0,2014-09-28 16:42:29.611440,0,0
0,2,2,3214,0,2014-09-28 16:43:32.351146,0,0
0,2,2,3277,0,2014-09-28 16:44:34.854882,0,0
0,2,2,3340,0,2014-09-28 16:45:37.911157,0,0
0,2,2,3402,0,2014-09-28 16:46:40.459602,0,0
0,2,2,3465,0,2014-09-28 16:47:42.771232,0,0
0,2,2,3527,0,2014-09-28 16:48:45.079562,0,0
0,2,2,3590,0,2014-09-28 16:49:47.728672,0,0
0,2,2,3653,0,2014-09-28 16:50:50.675926,0,0
0,2,2,3715,0,2014-09-28 16:51:53.222757,0,0
0,2,2,3778,0,2014-09-28 16:52:55.634175,0,0
0,2,2,3840,0,2014-09-28 16:53:58.460913,0,0
0,2,2,3902,0,2014-09-28 16:55:00.591110,0,0
0,2,2,3965,0,2014-09-28 16:56:03.395241,0,0
0,2,2,4028,0,2014-09-28 16:57:05.649405,0,0
0,2,2,4090,0,2014-09-28 16:58:07.990297,0,0
0,2,2,4152,0,2014-09-28 16:59:10.456369,0,0
0,2,2,4215,0,2014-09-28 17:00:13.091219,0,0
0,2,2,4278,0,2014-09-28 17:01:15.394814,0,0
