nr,reply_time_transfer,errors_addr_unavail,connection_rate_ms_conn,reply_time_response,connection_time_min,request_size,errors_ftab_full,net_io_kb_sec,errors_client_timeout,reply_rate_stddev,connection_length,reply_rate_max,cpu_time_total_pct,cpu_time_system_pct,reply_status_3xx,connection_rate_per_sec,errors_conn_refused,errors_total,reply_status_2xx,connection_time_avg,errors_conn_reset,request_rate_ms_request,cpu_time_user_sec,errors_fd_unavail,cpu_time_system_sec,connection_time_max,reply_rate_min,reply_status_5xx,connection_time_stddev,reply_rate_avg,reply_size_total,reply_size_header,errors_other,reply_size_content,request_rate_per_sec,reply_rate_samples,connection_time_connect,total_connections,cpu_time_user_pct,reply_size_footer,max_connect_burst_length,errors_socket_timeout,total_replies,net_io_bps,reply_status_1xx,reply_status_4xx,command,connection_time_median,total_requests,total_test_duration
1,0,0,10,2.9,2.5,79,0,24.8,0,0.1,1,100,99.6,47.8,0,100,0,0,6000,3.6,0,10,31.12,0,28.66,23.2,99.8,0,0.8,100,175,167,0,8,100,12,0.7,6000,51.9,0,1,0,6000,0.2*10^6,0,0,httperf --hog --client=0/1 --server=balance1 --port=80 --uri=/perf.php?sleep=0.2 --rate=100 --send-buffer=4096 --recv-buffer=16384 --num-conns=6000 --num-calls=1,3.5,6000,59.998
2,0,0,10,2.9,2.5,79,0,24.8,0,0,1,100,99.5,47.6,0,100,0,0,6000,3.6,0,10,31.15,0,28.55,18.1,100,0,0.7,100,175,167,0,8,100,11,0.7,6000,51.9,0,1,0,6000,0.2*10^6,0,0,httperf --hog --client=0/1 --server=balance1 --port=80 --uri=/perf.php?sleep=0.2 --rate=100 --send-buffer=4096 --recv-buffer=16384 --num-conns=6000 --num-calls=1,3.5,6000,59.994
3,0,0,10,2.8,2.5,79,0,24.8,0,0,1,100,99.7,47.6,0,100,0,0,6000,3.6,0,10,31.28,0,28.53,22.2,100,0,0.7,100,175,167,0,8,100,11,0.7,6000,52.1,0,1,0,6000,0.2*10^6,0,0,httperf --hog --client=0/1 --server=balance1 --port=80 --uri=/perf.php?sleep=0.2 --rate=100 --send-buffer=4096 --recv-buffer=16384 --num-conns=6000 --num-calls=1,3.5,6000,59.994
4,0,0,5,2.7,2.5,79,0,49.6,0,0.1,1,200,99.4,48.5,0,200,0,0,12000,3.4,0,5,30.53,0,29.09,19.8,199.8,0,0.7,200,175,167,0,8,200,12,0.7,12000,50.9,0,1,0,12000,0.4*10^6,0,0,httperf --hog --client=0/1 --server=balance1 --port=80 --uri=/perf.php?sleep=0.2 --rate=200 --send-buffer=4096 --recv-buffer=16384 --num-conns=12000 --num-calls=1,3.5,12000,60
5,0,0,5,2.8,2.5,79,0,49.6,0,0.1,1,200,99.3,48.6,0,200,0,0,12000,3.5,0,5,30.47,0,29.14,30.5,199.8,0,0.9,200,175,167,0,8,200,12,0.7,12000,50.8,0,1,0,12000,0.4*10^6,0,0,httperf --hog --client=0/1 --server=balance1 --port=80 --uri=/perf.php?sleep=0.2 --rate=200 --send-buffer=4096 --recv-buffer=16384 --num-conns=12000 --num-calls=1,3.5,12000,60.001
6,0,0,5,2.8,2.6,79,0,49.6,0,0.1,1,200,99.1,48.2,0,200,0,0,12000,3.5,0,5,30.56,0,28.9,26.8,199.8,0,0.7,200,175,167,0,8,200,12,0.7,12000,50.9,0,1,0,12000,0.4*10^6,0,0,httperf --hog --client=0/1 --server=balance1 --port=80 --uri=/perf.php?sleep=0.2 --rate=200 --send-buffer=4096 --recv-buffer=16384 --num-conns=12000 --num-calls=1,3.5,12000,60
7,0,0,3.3,2.8,2.5,79,0,74.4,0,0.1,1,300,99.1,49,0,300,0,0,18000,3.6,0,3.3,30.07,0,29.41,25.9,299.8,0,0.8,300,175,167,0,8,300,12,0.7,18000,50.1,0,6,0,18000,0.6*10^6,0,0,httperf --hog --client=0/1 --server=balance1 --port=80 --uri=/perf.php?sleep=0.2 --rate=300 --send-buffer=4096 --recv-buffer=16384 --num-conns=18000 --num-calls=1,3.5,18000,60.001
8,0,0,3.3,2.8,2.5,79,0,74.4,0,0.1,1,300,99.1,49.1,0,300,0,0,18000,3.6,0,3.3,30,0,29.48,17.8,299.8,0,0.7,300,175,167,0,8,300,12,0.7,18000,50,0,1,0,18000,0.6*10^6,0,0,httperf --hog --client=0/1 --server=balance1 --port=80 --uri=/perf.php?sleep=0.2 --rate=300 --send-buffer=4096 --recv-buffer=16384 --num-conns=18000 --num-calls=1,3.5,18000,60.001
9,0,0,3.3,2.9,2.5,79,0,74.4,0,0.1,1,300.2,99.1,49.1,0,300,0,0,18000,3.7,0,3.3,30.03,0,29.45,178,299.8,0,3.7,300,175,167,0,8,300,12,0.7,18000,50.1,0,6,0,18000,0.6*10^6,0,0,httperf --hog --client=0/1 --server=balance1 --port=80 --uri=/perf.php?sleep=0.2 --rate=300 --send-buffer=4096 --recv-buffer=16384 --num-conns=18000 --num-calls=1,3.5,18000,60.002
10,0,0,2.5,3,2,79,0,99.2,0,0.1,1,400,99.1,50,0,400,0,0,24000,3.8,0,2.5,29.5,0,29.98,84.8,399.8,0,1.6,400,175,167,0,8,400,12,0.8,24000,49.2,0,1,0,24000,0.8*10^6,0,0,httperf --hog --client=0/1 --server=balance1 --port=80 --uri=/perf.php?sleep=0.2 --rate=400 --send-buffer=4096 --recv-buffer=16384 --num-conns=24000 --num-calls=1,3.5,24000,60.003
