nr,reply_time_transfer,errors_addr_unavail,connection_rate_ms_conn,reply_time_response,connection_time_min,request_size,errors_ftab_full,net_io_kb_sec,errors_client_timeout,reply_rate_stddev,connection_length,reply_rate_max,cpu_time_total_pct,cpu_time_system_pct,reply_status_3xx,connection_rate_per_sec,errors_conn_refused,errors_total,reply_status_2xx,connection_time_avg,errors_conn_reset,request_rate_ms_request,cpu_time_user_sec,errors_fd_unavail,cpu_time_system_sec,connection_time_max,reply_rate_min,reply_status_5xx,connection_time_stddev,reply_rate_avg,reply_size_total,reply_size_header,errors_other,reply_size_content,request_rate_per_sec,reply_rate_samples,connection_time_connect,total_connections,cpu_time_user_pct,reply_size_footer,max_connect_burst_length,errors_socket_timeout,total_replies,net_io_bps,reply_status_1xx,reply_status_4xx,command,connection_time_median,total_requests,total_test_duration
100,0,0,10,2.7,2.5,79,0,24.8,0,0,1,100,99.6,47.8,0,100,0,0,6000,3.4,0,10,31.1,0,28.68,21.2,100,0,0.7,100,175,167,0,8,100,11,0.7,6000,51.8,0,1,0,6000,0.2*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=100 --send-buffer=4096 --recv-buffer=16384 --num-conns=6000 --num-calls=1,3.5,6000,59.994
100,0,0,10,2.7,2.4,79,0,24.8,0,0,1,100,99.2,47.5,0,100,0,0,6000,3.4,0,10,31.02,0,28.5,23.3,100,0,0.6,100,175,167,0,8,100,11,0.7,6000,51.7,0,1,0,6000,0.2*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=100 --send-buffer=4096 --recv-buffer=16384 --num-conns=6000 --num-calls=1,3.5,6000,59.994
100,0,0,10,2.7,2.6,79,0,24.8,0,0,1,100,99.5,47.5,0,100,0,0,6000,3.4,0,10,31.23,0,28.49,23.5,100,0,0.8,100,175,167,0,8,100,11,0.7,6000,52.1,0,1,0,6000,0.2*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=100 --send-buffer=4096 --recv-buffer=16384 --num-conns=6000 --num-calls=1,3.5,6000,59.994
200,0,0,5,2.6,2.4,79,0,49.6,0,0.1,1,200,99.1,48.1,0,200,0,0,12000,3.3,0,5,30.62,0,28.85,65,199.8,0,1,200,175,167,0,8,200,12,0.7,12000,51,0,1,0,12000,0.4*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=200 --send-buffer=4096 --recv-buffer=16384 --num-conns=12000 --num-calls=1,3.5,12000,60
200,0,0,5,2.6,2.3,79,0,49.6,0,0.1,1,200,99.1,48.1,0,200,0,0,12000,3.3,0,5,30.62,0,28.85,19.6,199.8,0,0.6,200,175,167,0,8,200,12,0.7,12000,51,0,1,0,12000,0.4*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=200 --send-buffer=4096 --recv-buffer=16384 --num-conns=12000 --num-calls=1,3.5,12000,60
200,0,0,5,2.6,2.4,79,0,49.6,0,0.1,1,200,99.1,48.2,0,200,0,0,12000,3.3,0,5,30.55,0,28.91,22,199.8,0,0.7,200,175,167,0,8,200,12,0.7,12000,50.9,0,1,0,12000,0.4*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=200 --send-buffer=4096 --recv-buffer=16384 --num-conns=12000 --num-calls=1,3.5,12000,60
300,0,0,3.3,2.5,2.3,79,0,74.4,0,0.1,1,300,99.1,48.9,0,300,0,0,18000,3.2,0,3.3,30.16,0,29.31,25.1,299.8,0,0.7,300,175,167,0,8,300,12,0.7,18000,50.3,0,6,0,18000,0.6*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=300 --send-buffer=4096 --recv-buffer=16384 --num-conns=18000 --num-calls=1,3.5,18000,60
300,0,0,3.3,2.5,2.3,79,0,74.4,0,0.1,1,300.2,99,49.8,0,300,0,0,18000,3.2,0,3.3,29.5,0,29.9,95.3,299.8,0,1.3,300,175,167,0,8,300,12,0.7,18000,49.2,0,1,0,18000,0.6*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=300 --send-buffer=4096 --recv-buffer=16384 --num-conns=18000 --num-calls=1,3.5,18000,60
300,0,0,3.3,2.5,2.4,79,0,74.4,0,0.1,1,300,99,49.7,0,300,0,0,18000,3.2,0,3.3,29.57,0,29.82,65.1,299.8,0,1,300,175,167,0,8,300,12,0.7,18000,49.3,0,6,0,18000,0.6*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=300 --send-buffer=4096 --recv-buffer=16384 --num-conns=18000 --num-calls=1,3.5,18000,60
400,0,0,2.5,2.6,2.3,79,0,99.2,0,0.1,1,400,99.2,49.7,0,400,0,0,24000,3.4,0,2.5,29.68,0,29.81,23.7,399.8,0,0.7,400,175,167,0,8,400,12,0.7,24000,49.5,0,1,0,24000,0.8*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=400 --send-buffer=4096 --recv-buffer=16384 --num-conns=24000 --num-calls=1,3.5,24000,60.003
400,0,0,2.5,2.7,1.5,79,0,99.2,0,0.1,1,400,99,50.8,0,400,0,0,24000,3.4,0,2.5,28.94,0,30.45,44.6,399.8,0,1,400,175,167,0,8,400,12,0.7,24000,48.2,0,3,0,24000,0.8*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=400 --send-buffer=4096 --recv-buffer=16384 --num-conns=24000 --num-calls=1,3.5,24000,60.003
400,0,0,2.5,2.7,2.3,79,0,99.2,0,0.1,1,400,99,50.6,0,400,0,0,24000,3.3,0,2.5,29.03,0,30.38,19,399.8,0,0.7,400,175,167,0,8,400,12,0.7,24000,48.4,0,2,0,24000,0.8*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=400 --send-buffer=4096 --recv-buffer=16384 --num-conns=24000 --num-calls=1,3.5,24000,60.003
500,0,0,2,2.9,2,79,0,124,0,0.1,1,500,99.1,50.4,0,500,0,0,30000,3.6,0,2,29.23,0,30.24,262.1,499.6,0,5.3,500,175,167,0,8,500,12,0.7,30000,48.7,0,4,0,30000,1.0*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=500 --send-buffer=4096 --recv-buffer=16384 --num-conns=30000 --num-calls=1,3.5,30000,60.005
500,0,0,2,2.9,1.7,79,0,124,0,0.1,1,500,99,52,0,500,0,0,30000,3.6,0,2,28.17,0,31.21,143.4,499.6,0,3.4,500,175,167,0,8,500,12,0.7,30000,46.9,0,2,0,30000,1.0*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=500 --send-buffer=4096 --recv-buffer=16384 --num-conns=30000 --num-calls=1,3.5,30000,60.005
500,0,0,2,2.8,1,79,0,124,0,0.1,1,500,99,51.5,0,500,0,0,30000,3.5,0,2,28.49,0,30.92,115.2,499.8,0,1.7,500,175,167,0,8,500,12,0.7,30000,47.5,0,4,0,30000,1.0*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=500 --send-buffer=4096 --recv-buffer=16384 --num-conns=30000 --num-calls=1,3.5,30000,60.004
600,0,0,1.7,2.8,1,79,0,148.8,0,0.1,1,600,99.1,51.3,0,599.9,0,0,36000,3.6,0,1.7,28.73,0,30.76,38.6,599.6,0,1.1,599.9,175,167,0,8,599.9,12,0.8,36000,47.9,0,3,0,36000,1.2*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=600 --send-buffer=4096 --recv-buffer=16384 --num-conns=36000 --num-calls=1,3.5,36000,60.006
600,0,0,1.7,2.9,1,79,0,148.8,0,0.2,1,600,99,52.6,0,599.9,0,0,36000,3.6,0,1.7,27.81,0,31.58,39.9,599.5,0,1.2,599.9,175,167,0,8,599.9,12,0.7,36000,46.3,0,5,0,36000,1.2*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=600 --send-buffer=4096 --recv-buffer=16384 --num-conns=36000 --num-calls=1,3.5,36000,60.01
600,0,0,1.7,2.9,1,79,0,148.8,0,0.2,1,600.2,99.1,51.2,0,599.9,0,0,36000,3.6,0,1.7,28.77,0,30.72,27,599.6,0,1.1,599.9,175,167,0,8,599.9,12,0.8,36000,47.9,0,5,0,36000,1.2*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=600 --send-buffer=4096 --recv-buffer=16384 --num-conns=36000 --num-calls=1,3.5,36000,60.006
700,0,0,1.4,3.2,1,79,0,173.6,0,0.2,1,700.3,99.1,52.1,0,699.9,0,0,42000,4,0,1.4,28.2,0,31.29,292.1,699.4,0,6.4,699.9,175,167,0,8,699.9,12,0.8,42000,47,0,10,0,42000,1.4*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=700 --send-buffer=4096 --recv-buffer=16384 --num-conns=42000 --num-calls=1,3.5,42000,60.004
700,0,0,1.4,3.1,1,79,0,173.6,0,0.2,1,700.1,99.1,51.9,0,700,0,0,42000,3.9,0,1.4,28.32,0,31.16,216,699.4,0,4.2,700,175,167,0,8,700,12,0.8,42000,47.2,0,4,0,42000,1.4*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=700 --send-buffer=4096 --recv-buffer=16384 --num-conns=42000 --num-calls=1,3.5,42000,60.004
700,0,0,1.4,3,1,79,0,173.6,0,0.2,1,700.3,98.9,53.4,0,699.9,0,0,42000,3.8,0,1.4,27.31,0,32.06,36.6,699.4,0,1.6,700,175,167,0,8,699.9,12,0.8,42000,45.5,0,5,0,42000,1.4*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=700 --send-buffer=4096 --recv-buffer=16384 --num-conns=42000 --num-calls=1,3.5,42000,60.004
800,0,0,1.3,3.3,1,79,0,198.4,0,0.2,1,800.1,98.9,54.8,0,799.9,0,0,48000,4.2,0,1.3,26.48,0,32.85,131.5,799.3,0,3.4,799.9,175,167,0,8,799.9,12,0.9,48000,44.1,0,7,0,48000,1.6*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=800 --send-buffer=4096 --recv-buffer=16384 --num-conns=48000 --num-calls=1,3.5,48000,60.004
800,0,0,1.3,3.3,1,79,0,198.4,0,0.7,1,801.7,98.9,54.4,0,799.9,0,0,48000,4.2,0,1.3,26.71,0,32.64,42.5,798.5,0,2.9,799.9,175,167,0,8,799.9,12,0.9,48000,44.5,0,7,0,48000,1.6*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=800 --send-buffer=4096 --recv-buffer=16384 --num-conns=48000 --num-calls=1,3.5,48000,60.004
800,0,0,1.3,3.3,1,79,0,198.4,0,0.9,1,801.7,98.9,54.8,0,799.9,0,0,48000,4.2,0,1.3,26.49,0,32.86,41.7,798.5,0,2.9,799.9,175,167,0,8,799.9,12,0.9,48000,44.1,0,7,0,48000,1.6*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=800 --send-buffer=4096 --recv-buffer=16384 --num-conns=48000 --num-calls=1,3.5,48000,60.004
900,0,0,1.1,4.1,1,79,0,223.2,0,2.2,1,905.1,99.1,53.7,0,900,0,0,54000,5.2,0,1.1,27.24,0,32.24,411.2,895.1,0,11.7,900,175,167,0,8,900,12,1.1,54000,45.4,0,12,0,54000,1.8*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=900 --send-buffer=4096 --recv-buffer=16384 --num-conns=54000 --num-calls=1,3.5,54000,59.998
900,0,0,1.1,3.7,1,79,0,223.2,0,0.8,1,901.9,98.9,55.8,0,900,0,0,54000,4.8,0,1.1,25.88,0,33.45,92.8,898.5,0,4.6,900,175,167,0,8,900,12,1.1,54000,43.1,0,7,0,54000,1.8*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=900 --send-buffer=4096 --recv-buffer=16384 --num-conns=54000 --num-calls=1,3.5,54000,59.998
900,0,0,1.1,3.7,1,79,0,223.2,0,0.4,1,900.9,99.1,53.6,0,900,0,0,54000,4.8,0,1.1,27.32,0,32.15,125.9,899.3,0,4.6,900,175,167,0,8,900,12,1.1,54000,45.5,0,8,0,54000,1.8*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=900 --send-buffer=4096 --recv-buffer=16384 --num-conns=54000 --num-calls=1,3.5,54000,59.998
1000,0,0,1,6.6,1,79,0,248.1,0,4.8,1,1010.1,98.9,58,0,1000,0,0,60000,10.3,0,1,24.52,0,34.8,1501.1,990.1,0,48.8,1000,175,167,0,8,1000,12,3.8,60000,40.9,0,8,0,60000,2.0*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1000 --send-buffer=4096 --recv-buffer=16384 --num-conns=60000 --num-calls=1,3.5,60000,59.998
1000,0,0,1,4.2,1,79,0,248.1,0,4.6,1,1008.1,99.1,54.7,0,1000,0,0,60000,5.5,0,1,26.65,0,32.82,53.4,991.3,0,6.3,1000,175,167,0,8,1000,12,1.3,60000,44.4,0,13,0,60000,2.0*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1000 --send-buffer=4096 --recv-buffer=16384 --num-conns=60000 --num-calls=1,3.5,60000,59.998
1000,0,0,1,4.3,2,79,0,248.1,0,0.2,1,1000.3,99.1,55,0,1000,0,0,60000,5.6,0,1,26.43,0,33.03,155.8,999.5,0,6.8,1000,175,167,0,8,1000,12,1.3,60000,44.1,0,9,0,60000,2.0*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1000 --send-buffer=4096 --recv-buffer=16384 --num-conns=60000 --num-calls=1,3.5,60000,59.998
1100,0,0,0.9,4.9,1,79,0,272.8,0,0.2,1,1100.1,99.2,56.3,0,1099.9,0,0,66000,6.5,0,0.9,25.74,0,33.8,156.8,1099.3,0,8.7,1099.9,175,167,0,8,1099.9,12,1.6,66000,42.9,0,15,0,66000,2.2*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1100 --send-buffer=4096 --recv-buffer=16384 --num-conns=66000 --num-calls=1,3.5,66000,60.003
1100,0,0,0.9,4.8,1,79,0,272.8,0,0.3,1,1100.3,98.9,58.5,0,1099.9,0,0,66000,6.4,0,0.9,24.19,0,35.12,138.6,1099.3,0,8.5,1099.9,175,167,0,8,1099.9,12,1.5,66000,40.3,0,11,0,66000,2.2*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1100 --send-buffer=4096 --recv-buffer=16384 --num-conns=66000 --num-calls=1,3.5,66000,60.003
1100,0,0,0.9,4.9,1,79,0,272.8,0,2.9,1,1105.7,99.1,56,0,1099.9,0,0,66000,6.5,0,0.9,25.86,0,33.62,68.8,1093.5,0,8.6,1099.9,175,167,0,8,1099.9,12,1.6,66000,43.1,0,11,0,66000,2.2*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1100 --send-buffer=4096 --recv-buffer=16384 --num-conns=66000 --num-calls=1,3.5,66000,60.003
1200,0,0,0.8,6,1,79,0,297.7,0,5.5,1,1212.9,99.1,57.9,0,1200,0,0,72000,8.1,0,0.8,24.72,0,34.75,75.2,1187.3,0,11.3,1200,175,167,0,8,1200,12,2.1,72000,41.2,0,11,0,72000,2.4*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1200 --send-buffer=4096 --recv-buffer=16384 --num-conns=72000 --num-calls=1,4.5,72000,59.999
1200,0,0,0.8,6,1,79,0,297.7,0,5.5,1,1210.1,99.1,57.9,0,1200,0,0,72000,8.1,0,0.8,24.73,0,34.74,75,1190.1,0,11.4,1200,175,167,0,8,1200,12,2.1,72000,41.2,0,13,0,72000,2.4*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1200 --send-buffer=4096 --recv-buffer=16384 --num-conns=72000 --num-calls=1,4.5,72000,59.999
1200,0,0,0.8,6,1,79,0,297.7,0,5.7,1,1212.1,99.1,57.8,0,1200,0,0,72000,8.1,0,0.8,24.78,0,34.69,88.3,1188.1,0,11.7,1200,175,167,0,8,1200,12,2.1,72000,41.3,0,12,0,72000,2.4*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1200 --send-buffer=4096 --recv-buffer=16384 --num-conns=72000 --num-calls=1,3.5,72000,59.999
1300,0,0,0.8,7.2,2.3,79,0,322.5,0,8.6,1,1315.9,99.2,59.3,0,1300.1,0,0,78000,9.7,0,0.8,23.94,0,35.59,111.6,1284.5,0,14.5,1300.1,175,167,0,8,1300.1,12,2.5,78000,39.9,0,11,0,78000,2.6*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1300 --send-buffer=4096 --recv-buffer=16384 --num-conns=78000 --num-calls=1,4.5,78000,59.996
1300,0,0,0.8,7.1,1.9,79,0,322.4,0,6.9,1,1314.1,98.8,61.9,0,1299.8,0,0,78000,9.6,0,0.8,22.14,0,37.13,88.4,1285.2,0,14.2,1299.4,175,167,0,8,1299.8,12,2.5,78000,36.9,0,12,0,78000,2.6*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1300 --send-buffer=4096 --recv-buffer=16384 --num-conns=78000 --num-calls=1,4.5,78000,60.008
1300,0,0,0.8,7.3,1,79,0,322.4,0,5.5,1,1309.5,98.8,62.1,0,1299.6,0,0,78000,9.9,0,0.8,22.02,0,37.28,92.6,1286.9,0,14.8,1299,175,167,0,8,1299.6,12,2.6,78000,36.7,0,12,0,78000,2.6*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1300 --send-buffer=4096 --recv-buffer=16384 --num-conns=78000 --num-calls=1,4.5,78000,60.019
1400,0,0,0.7,7.7,1,79,0,347.2,0,3.4,1,1407.3,99.1,60.2,0,1399.9,0,0,84000,10.4,0,0.7,23.33,0,36.14,99.2,1391.7,0,15.9,1399.9,175,167,0,8,1399.9,12,2.7,84000,38.9,0,14,0,84000,2.8*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1400 --send-buffer=4096 --recv-buffer=16384 --num-conns=84000 --num-calls=1,4.5,84000,60.004
1400,0,0,0.7,8.4,2.4,79,0,347.1,0,8.4,1,1416.3,99.2,60.7,0,1399.5,0,0,84000,11.4,0,0.7,23.06,0,36.46,88.8,1383.5,0,16.3,1398.5,175,167,0,8,1399.5,12,3,84000,38.4,0,13,0,84000,2.8*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1400 --send-buffer=4096 --recv-buffer=16384 --num-conns=84000 --num-calls=1,4.5,84000,60.023
1400,0,0,0.7,10.5,2,79,0,347.2,0,6.5,1,1408.3,99.3,63.4,0,1399.9,0,0,84000,14.4,0,0.7,21.51,0,38.05,1000.4,1385.1,0,32.7,1399.9,175,167,0,8,1399.9,12,3.9,84000,35.8,0,26,0,84000,2.8*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1400 --send-buffer=4096 --recv-buffer=16384 --num-conns=84000 --num-calls=1,4.5,84000,60.005
1500,0,0,0.7,10.4,1,79,0,372.1,0,8.8,1,1516.9,98.8,65.2,0,1500,0,0,90000,14,0,0.7,20.13,0,39.13,130.4,1483.3,0,20,1500,175,167,0,8,1500,12,3.6,90000,33.5,0,25,0,90000,3.0*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1500 --send-buffer=4096 --recv-buffer=16384 --num-conns=90000 --num-calls=1,4.5,90000,60
1500,0,0,0.7,10.9,2.4,79,0,372.1,0,10.6,1,1515.9,98.8,65.9,0,1500,0,0,90000,14.6,0,0.7,19.72,0,39.54,133.3,1479.9,0,20.8,1500,175,167,0,8,1500,12,3.8,90000,32.9,0,57,0,90000,3.0*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1500 --send-buffer=4096 --recv-buffer=16384 --num-conns=90000 --num-calls=1,4.5,90000,60
1500,0,0,0.7,14,2.4,79,0,372.1,0,0.5,1,1500.3,99.2,65.1,0,1500,0,0,90000,19.3,0,0.7,20.42,0,39.09,1113.9,1498.7,0,57.9,1500,175,167,0,8,1500,12,5.3,90000,34,0,48,0,90000,3.0*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1500 --send-buffer=4096 --recv-buffer=16384 --num-conns=90000 --num-calls=1,4.5,90000,60.001
1600,0,0,0.6,13.7,1,79,0,396.9,0,12.4,1,1621.3,99.2,65.4,0,1600.2,0,0,96000,18.3,0,0.6,20.29,0,39.24,127.5,1579.1,0,24.5,1600.1,175,167,0,8,1600.2,11,4.5,96000,33.8,0,54,0,96000,3.3*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1600 --send-buffer=4096 --recv-buffer=16384 --num-conns=96000 --num-calls=1,4.5,96000,59.993
1600,0,0,0.6,14.3,2,79,0,396.9,0,11.4,1,1621.9,99.1,65.7,0,1600.2,0,0,96000,19.1,0,0.6,20.05,0,39.4,137.7,1578.5,0,25,1599.8,175,167,0,8,1600.2,11,4.8,96000,33.4,0,53,0,96000,3.3*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1600 --send-buffer=4096 --recv-buffer=16384 --num-conns=96000 --num-calls=1,4.5,96000,59.994
1600,0,0,0.6,14.6,2.4,79,0,396.9,0,10.1,1,1617.7,99.1,65.5,0,1600.2,0,0,96000,19.4,0,0.6,20.15,0,39.31,139.4,1582.5,0,25.6,1599.1,175,167,0,8,1600.2,11,4.8,96000,33.6,0,54,0,96000,3.3*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1600 --send-buffer=4096 --recv-buffer=16384 --num-conns=96000 --num-calls=1,4.5,96000,59.993
1700,0,0,0.6,18.7,2,79,0,421.7,0,15.9,1,1727.1,99.1,68.2,0,1700.1,0,0,102000,24.6,0,0.6,18.54,0,40.93,162.5,1671.8,0,30.2,1700,175,167,0,8,1700.1,12,5.8,102000,30.9,0,61,0,102000,3.5*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1700 --send-buffer=4096 --recv-buffer=16384 --num-conns=102000 --num-calls=1,5.5,102000,59.998
1700,0,0,0.6,20.1,2.9,79,0,421.4,0,18.7,1,1721.7,99.2,68.7,0,1698.9,0,0,102000,26.3,0,0.6,18.28,0,41.24,170.5,1659.7,0,32.4,1697.9,175,167,0,8,1698.9,12,6.1,102000,30.5,0,56,0,102000,3.5*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1700 --send-buffer=4096 --recv-buffer=16384 --num-conns=102000 --num-calls=1,5.5,102000,60.039
1700,0,0,0.6,21.2,2,79,0,421.3,0,23.5,1,1748.5,99.1,68.8,0,1698.4,0,0,102000,27.5,0,0.6,18.22,0,41.3,200.3,1669.7,0,34.6,1697.6,175,167,0,8,1698.4,12,6.3,102000,30.3,0,57,0,102000,3.5*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1700 --send-buffer=4096 --recv-buffer=16384 --num-conns=102000 --num-calls=1,5.5,102000,60.056
1800,0,0,0.6,27.1,2.4,79,0,446.3,0,12.8,1,1818.5,98.6,73.9,0,1799.4,0,0,108000,34.9,0,0.6,14.87,0,44.34,188.1,1766.3,0,38.5,1799.8,175,167,0,8,1799.4,12,7.8,108000,24.8,0,61,0,108000,3.7*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1800 --send-buffer=4096 --recv-buffer=16384 --num-conns=108000 --num-calls=1,15.5,108000,60.019
1800,0,0,0.6,26.1,2.8,79,0,445.9,0,22.4,1,1828.5,99.2,71.8,0,1797.5,0,0,108000,33.6,0,0.6,16.47,0,43.13,168.7,1766.1,0,36.7,1797.2,175,167,0,8,1797.5,12,7.5,108000,27.4,0,63,0,108000,3.7*10^6,0,0,httperf --hog --client=0/1 --server=balance2 --port=80 --uri=/perf.php?sleep=0.2 --rate=1800 --send-buffer=4096 --recv-buffer=16384 --num-conns=108000 --num-calls=1,14.5,108000,60.083
